highpm10	cars	temp2m	windspeed	winddirection	time
0	284	-8.7	4.3	1	1
0	620	1.6	1.3	1	2
0	674	-3.9	2.8	1	2
0	2781	1.4	2.5	3	4
0	1985	3.3	4.2	3	4
1	1337	3	1.8	3	4
1	3766	7.2	3.8	1	3
0	3402	-1.7	1.5	1	2
0	2625	0.8	5	1	4
1	1865	0.1	3.5	1	4
1	1795	4.5	6.6	3	2
1	286	0.3	1.5	4	1
0	1180	-0.9	1.6	3	2
0	565	2.2	2.8	2	1
0	1356	-0.6	2.1	1	4
0	2617	3.2	2.6	4	4
0	2541	4.1	2.7	2	4
1	2932	-4.8	0.8	3	3
0	1131	7.1	1.6	1	4
0	2702	-4.4	3.8	1	2
1	2258	7.1	3.9	1	2
0	3621	0	0.8	3	3
1	2558	11.6	4.2	3	3
1	1973	3.1	2.2	3	2
1	647	1.5	1.2	2	4
0	2320	15	7.3	3	3
0	3385	3.6	4.9	3	3
0	294	5.7	1.9	1	1
1	1964	3.4	6.9	3	2
0	3024	10.1	2.4	1	3
1	2112	-2.4	2.6	1	3
0	2533	0.2	4.5	1	2
0	1088	-15	3.3	1	4
1	3236	5.2	7.2	3	3
0	2580	4.1	3.4	1	2
0	2166	6.3	9.4	3	3
1	1889	8.7	4	3	3
1	4048	2.4	4.2	1	2
0	385	-5.3	1	1	2
0	525	2.5	4.3	1	4
0	3829	9.3	5.4	3	3
0	2034	-5.6	3.1	1	2
0	1710	5.6	7	3	2
0	2622	-1.7	0.5	3	3
1	2090	-5.6	4.9	1	2
1	1752	-3.5	0.7	2	4
0	3578	-11.2	3.7	1	3
1	165	-11.9	0.6	4	1
0	328	2.1	2.6	3	1
0	1263	1	4.5	3	4
1	2193	8.8	3.6	1	2
1	1381	-4.6	6.5	1	4
0	439	-5.8	2	2	1
0	305	1	1.8	2	1
0	915	0.1	1.7	3	2
0	291	-1.9	0.9	2	1
1	3873	1	3.4	3	2
0	376	2.1	3.8	1	1
0	1868	6.1	2.5	3	4
0	3353	0.2	0.8	1	3
0	2935	1.9	5.8	1	2
1	2313	11.8	6	3	3
0	3613	-4.4	1.5	1	2
0	622	1.9	2.4	2	4
0	197	8.6	1.8	3	1
1	3727	9.1	9.4	1	3
0	2186	13	0.3	2	4
0	817	1.8	0.8	3	1
1	1967	4	3.1	2	2
0	3132	-7.8	0.6	2	3
1	2273	8.7	5.5	2	3
0	1841	-4.9	4.1	1	3
0	1962	-8.8	8.1	1	3
1	3961	2.9	3.3	1	3
1	3033	0.4	3.9	1	3
0	2160	-0.7	4.3	1	3
0	2591	4.2	2.7	3	3
0	121	2.7	2.8	3	1
1	2133	7.4	0.9	1	3
0	79	0.6	4.6	4	1
0	1854	6	3.5	1	4
0	2295	1.6	1.6	3	4
1	2040	3.4	5.9	1	3
0	220	3.3	1.7	3	1
0	357	-5.4	5.1	1	1
0	348	4.2	1.7	2	1
0	3042	2	6	2	3
1	1390	-14.2	1.4	3	3
1	2522	9.4	2.9	3	3
0	100	1.5	1.1	3	1
0	3330	0.6	6.8	1	2
0	1957	2.5	3	1	3
1	4079	-0.3	3	1	2
1	130	1.4	0.7	1	1
0	1824	-0.7	4	1	2
1	674	-8.1	0.7	2	4
0	743	-13.1	3.5	1	2
0	110	6.3	6	3	1
0	1043	-3.8	0.7	3	4
0	307	-3.6	0.8	4	1
0	3510	-1.1	1.5	2	3
0	2211	15.8	3.9	2	3
0	86	-5.1	3.4	1	1
0	3954	8.5	3.1	3	2
0	3160	-2.1	4.1	1	2
0	2698	1.5	0.5	2	3
1	1543	3	0.8	1	4
1	2698	-12.6	2.2	1	4
0	2120	3	3.1	3	3
0	273	-5.2	2.9	1	1
0	1277	3.5	0.9	3	4
0	227	2.8	1.3	1	1
1	2458	6.5	4.3	1	2
0	2831	2.5	3.6	1	3
1	4191	6.3	4.2	1	3
1	1883	-1.4	1.7	1	2
1	362	1.7	1.1	2	1
0	1852	2.4	7.9	1	4
0	622	-0.1	1.6	1	4
0	1812	3.1	1.7	3	2
1	3104	12.9	8.3	4	3
0	1510	-13.4	3.8	1	2
0	229	0.7	3.9	3	1
1	2809	2.4	1	2	2
0	3562	-1.3	5.6	1	3
0	2116	-6.3	4	1	4
0	1923	3.5	1.8	1	4
0	2944	0	4	1	2
1	2062	11.8	2.4	3	3
1	2063	5.8	1.9	3	2
0	2064	3.1	4.7	1	2
0	2765	1.4	2.1	3	3
0	74	0.8	3.1	1	1
0	2155	6.8	9.9	3	3
0	1215	1.3	8	1	4
1	2848	6.8	1.5	2	2
0	2630	-6.8	1	3	3
1	2570	10.5	4.4	1	3
0	3868	3.8	5.2	3	2
0	2301	-12.8	3.6	1	3
1	190	1.3	0.8	1	1
0	189	-4.2	1.4	3	1
0	1905	-0.6	2.5	1	3
0	2871	-6.1	5.2	1	3
0	951	5.1	5.5	3	2
0	3358	0.8	3	1	3
0	2983	-4.4	3.7	1	3
0	61	-6.5	2.1	1	1
0	123	-3.7	0.9	4	1
0	619	0.7	2.9	3	4
0	142	-5.7	3.3	1	1
0	474	8.4	3.3	1	4
0	701	-0.2	2.8	1	4
0	169	-1.9	4.5	1	1
0	179	-7.3	1.9	1	1
1	2741	0.1	2.1	1	3
0	1540	-5.9	2.9	1	4
0	1105	4.7	5.6	1	4
0	2635	4.2	4.4	3	3
0	1391	2.1	5.4	2	4
1	2087	-0.5	2.1	3	3
1	1192	-3.7	1.1	3	4
1	2856	6.5	6.2	3	3
0	615	2.1	4.1	3	4
0	1466	-3.1	1	3	4
0	227	-12.8	0.8	1	1
0	1466	3.8	4.3	3	4
0	1851	3.4	6	3	3
0	280	-4.2	2.1	2	1
0	2913	-1.7	5.2	1	2
1	2397	5.4	3.6	1	2
0	312	3.4	4.9	3	1
0	312	-0.2	5.6	1	1
0	278	2.1	1.5	3	1
0	2578	-12.5	3.2	1	3
0	1938	-4.1	4.3	1	3
1	1189	-9.8	0.5	2	4
0	1696	-4.9	4.7	1	4
0	452	-5.2	3.5	1	1
0	2907	-1.6	3.5	1	3
0	805	6.4	1.2	3	1
0	2429	2	2.8	3	3
1	184	-8.5	1.5	4	2
0	2103	3.6	7.6	3	3
0	459	0.4	0.8	4	2
0	3261	1.2	3.6	1	3
0	319	-3.5	3.2	3	1
0	3178	3.6	2.3	1	2
1	1624	-14.9	1.9	1	4
0	622	1	2.5	1	2
0	2048	-1.7	1.6	2	4
0	185	3.4	1.1	1	1
0	576	6.9	7	3	4
0	88	-4.8	2.5	1	1
1	667	4.2	3.9	1	4
0	982	1.5	4	3	4
0	1524	-2.9	1.9	4	4
0	1572	-8.2	4.7	1	2
1	2371	7	3.1	1	2
0	474	8.1	1.9	3	1
0	2901	3.7	4.2	2	2
0	2706	0.7	2.1	3	3
0	3506	0.4	8.6	1	3
0	126	-10.4	1.9	1	2
0	137	6.5	4.5	3	1
0	1765	9	4.6	3	2
0	1862	10.1	1.1	3	2
0	2665	-0.3	1.7	1	3
0	88	-4.4	2.6	1	1
0	2282	1.7	1.5	4	4
0	1025	-3.2	0.8	3	4
0	2114	-5.9	3.1	1	3
0	1118	3.7	3.6	3	4
1	3217	9.9	2.2	2	3
0	2702	7.4	4.3	2	3
0	989	5.1	2.5	1	4
1	74	3.2	1.5	1	1
0	174	0	4.3	2	1
0	2509	-5.6	6.1	1	3
0	1125	0.7	2.4	3	4
0	2702	15.1	2.9	2	4
0	309	-2.2	4.3	1	1
0	210	-3.8	2.7	1	1
0	1968	4.2	6.5	3	2
0	935	-13.1	4.8	1	2
0	1908	-0.2	3.9	1	2
0	120	1.5	3.2	2	1
0	958	0.8	1.5	3	4
0	2470	-6.6	2.2	1	2
0	2683	2.1	4	1	3
0	2348	1.7	2.9	1	3
0	436	-4.1	5.4	1	1
1	2464	18.2	3.7	3	3
0	241	2.2	2	3	1
0	196	-7.8	4.6	1	4
0	2361	-5.4	3	1	3
0	266	-4.5	4.1	1	1
0	2608	8	6.1	3	4
0	3628	2.7	3.8	2	2
1	1982	-5.6	3.9	1	3
0	255	4.6	0.9	2	1
0	1916	12	4.4	4	4
0	675	4.4	2	3	1
0	500	4.5	3.5	1	2
0	765	0.2	0.5	1	4
0	413	-18.6	2.3	1	2
0	2047	0.1	2.6	3	4
0	344	7.4	4.3	3	1
0	4129	7.6	4.2	3	2
0	1511	8.6	2.6	3	4
1	2740	-2.5	3.6	1	3
1	2304	10.6	1.8	3	3
0	1010	-1.6	1.1	4	4
0	2398	5	3.1	3	3
0	179	5.2	4.4	3	1
0	465	5.3	2.3	2	1
0	240	-13.1	1.1	1	1
0	199	3.3	2.2	1	1
0	241	-0.8	3.5	2	1
0	153	-4	1.5	2	1
1	2081	1.7	2.3	1	3
1	3994	6.1	4.2	1	3
0	300	5.8	2.8	1	2
0	241	5.7	3.3	3	1
0	1130	14.9	2.8	3	2
0	203	-5.7	2.2	1	1
0	466	0.2	3.1	1	2
1	172	-9	1.3	1	1
1	2130	16.8	6	4	3
0	363	2.8	4.7	1	1
0	2020	-0.1	6.6	3	3
0	1850	-12.5	0.8	3	4
0	125	-7.8	3.7	1	1
0	1899	0.9	1	3	2
0	2341	-4.2	4.6	1	2
0	1820	21.9	3.6	3	4
0	436	-10.1	2.8	1	1
1	1114	-9.4	1.2	1	4
1	1988	11.2	1.7	3	2
1	3662	1.8	3.2	3	2
0	99	0.5	5.5	4	1
0	3763	-2.2	1.6	3	3
1	4086	-0.1	5.2	1	2
0	1941	8.4	5.4	3	2
0	2019	0.9	3	4	2
0	3697	-2.9	1.4	2	2
1	3610	2.3	2.5	1	3
0	2150	-1.4	4.4	1	3
0	2408	0.4	1.5	2	3
0	109	-11.3	2.5	1	1
0	2057	0.1	3.9	1	3
0	244	-5	4	1	1
0	716	1.6	2	3	1
0	2714	-2.8	2.3	3	4
0	701	-3.5	3.9	1	4
0	3715	2	3.5	1	2
0	228	2.4	3.6	2	1
0	2673	7.1	3.4	1	4
0	3055	-2.7	1.4	1	2
0	1265	-1.3	1.2	1	4
0	2894	5.5	3.9	3	3
1	779	5.5	1.1	2	4
0	1212	-4	5.8	1	2
0	2115	-0.2	2.4	1	4
0	111	-2.8	1.8	3	1
0	271	3.8	3.9	1	1
0	2569	0.2	2.8	1	3
0	2688	12.8	6.8	3	3
0	1348	-0.8	1.6	3	4
0	133	-10.8	1.5	1	1
1	1934	-10.2	0.6	2	2
0	2021	0.8	3.1	1	4
0	787	4.1	1.4	2	4
0	159	4.3	4.9	1	1
0	1739	-2.8	1.4	3	4
1	2165	-0.4	0.8	2	4
0	2449	2.4	3.9	1	4
0	3876	3.4	0.9	3	3
0	2142	12.1	2.8	3	3
1	207	-2.5	2	1	1
1	550	-4.5	2	1	4
0	792	2.2	7.1	1	1
1	3272	-4.7	1.4	4	3
0	711	0.1	2.1	3	1
0	342	-5.8	7.7	1	2
0	2426	3.3	4.3	3	3
0	2347	2	1.7	3	3
0	2149	1.3	4.2	2	2
0	2919	1.4	5	1	2
0	2402	6.1	1.9	2	4
0	387	-3.1	4.2	1	1
0	94	-11.5	1.7	2	1
0	278	-6.6	1	3	1
0	289	-3.8	2.1	1	1
0	1892	6.5	9.4	3	2
0	512	-0.4	3.3	3	4
0	96	-6.3	2	3	1
0	722	2.2	1.8	1	1
0	203	-4.9	4.2	4	1
0	275	-1.3	2.8	1	1
1	2233	-5.1	0.7	1	2
0	519	0.1	1	1	4
0	2579	6.5	5.2	1	4
1	3809	8.6	1.6	3	3
